Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
16.96,2,0.2414301564854355888941199821,0.249332661313388,0.249332661313388,0.241724570938321,0.241724570938321,0.21364788489927,0.2222193207716948982677915202,0.1587220515383543982677915202,0.0634972692333405,7.6770372750253683162961176701,88.29233887278019563615304723,87.54953220229524531978369982,1625780000
16.97,2,0.2414190654875595523330185294,0.249320314648333,0.249320314648333,0.241713466415415,0.241713466415415,0.213612508432241,0.2221835349626564639231407821,0.1586619178863475639231407821,0.0635216170763089,7.6747934038180401713884166373,88.28017210368316619670654527,87.53991526259638149176665288,1626739000
16.98,2,0.2414079979923942095296039557,0.249307997452582,0.249307997452582,0.241702385423881,0.241702385423881,0.213577301594583,0.2221479197081202198717650316,0.1586019308066026198717650316,0.0635459889015176,7.672554822259938290888402582,88.26811541418397224240648637,87.53038753679657362116062745,1627698000
16.99,2,0.2413969389196135134496859009,0.249295690282439,0.249295690282439,0.241691312865002,0.241691312865002,0.213542140225964,0.2221123502448138841158502556,0.1585419655358472841158502556,0.0635703847089666,7.6703179535926311457614143051,88.25597958729687096556366053,87.52079174599339356673590799,1628656000
17.00,2,0.2413858993983271852444686213,0.249283405582835,0.249283405582835,0.241680259881459,0.241680259881459,0.213507061423416,0.2220768640814911742056588640,0.1584820595828355742056588640,0.0635948044986556,7.6680838698088788267576766045,88.24388983841229062416227881,87.51123185456751412602248013,1629615000
17.01,2,0.2413748782748905385283534722,0.24927114369269,0.24927114369269,0.241669225318202,0.241669225318202,0.213472107988805,0.2220415040057730127374399660,0.1584222557351885127374399660,0.0636192482705845,7.6658537941297268329715966832,88.23181677201340225919110427,87.50168360064025275635738691,1630573000
17.02,2,0.2413638676891719409401287346,0.249258895619696,0.249258895619696,0.241658201305513,0.241658201305513,0.21343724791273,0.2220062377139314481476913389,0.1583625216891773481476913389,0.0636437160247541,7.6636267985675966072394449391,88.21975571261773933050345581,87.49214301882200749104272175,1631532000
17.03,2,0.2413528705582614672336652353,0.249246662608584,0.249246662608584,0.241647190764039,0.241647190764039,0.213402433152268,0.2219710172357504124658852143,0.1583028094745871124658852143,0.0636682077611633,7.6614015063231109444835373722,88.20769019298028716786247093,87.48259631309379006115666222,1632491000
17.04,2,0.2413419007885933397995064139,0.249234461345218,0.249234461345218,0.241636207617174,0.241636207617174,0.213367742571165,0.2219359219692609433592243375,0.1582431984894481433592243375,0.0636927234798128,7.6591801894283569635831671831,88.19564292640140314112997337,87.47306255044979748548975105,1633449000
17.05,2,0.2413309225361273482576577228,0.249222254578538,0.249222254578538,0.241625215977167,0.241625215977167,0.213333137755776,0.2219009122241770617150317780,0.1581836490434743617150317780,0.0637172631807027,7.6569617082864331355036731716,88.18360598854561783304303495,87.46353504815458566345515902,1634408000
17.06,2,0.2413199706206328238494323302,0.249210076860741,0.249210076860741,0.241614250706248,0.241614250706248,0.213298609219405,0.2218659797254353566300168902,0.1581241528616028566300168902,0.0637418268638325,7.6547458232803738749522573366,88.17157085146551391402181244,87.45400670453044836527825982,1635366000
17.07,2,0.2413090392087593558639706173,0.24919792447144,0.24919792447144,0.241603305963954,0.241603305963954,0.213264217775027,0.2218311851191258111649604985,0.1580647705899236111649604985,0.0637664145292022,7.6525342692386603570663496804,88.15956554436961088317906472,87.44450095757486103004531791,1636325000
17.08,2,0.2412981212043711457729543593,0.249185786822892,0.249185786822892,0.241592374645494,0.241592374645494,0.213229863807956,0.2217964284817378280885219855,0.1580054023049255280885219855,0.0637910261768123,7.6503241810096583486391978014,88.14754839159981424691564674,87.43498293346462056773456876,1637284000
17.09,2,0.2412872215007442432931286981,0.249173670669991,0.249173670669991,0.241581461650113,0.241581461650113,0.213195600371518,0.2217617630700212099529277084,0.1579461012633585099529277084,0.0638156618066627,7.6481170817329063206361404997,88.13554077652379274145910471,87.42547053170852301329657538,1638242000
17.10,2,0.2412763312805142355540592349,0.249161568331956,0.249161568331956,0.241570558149694,0.241570558149694,0.2131614604752,0.2217272216052999136684024598,0.1578869001865468136684024598,0.0638403214187531,7.6459139062513613919364709753,88.12355535845146355477779297,87.41597435722206436679122506,1639201000
17.11,2,0.2412654593827093706455172403,0.249149486140516,0.249149486140516,0.241559672994043,0.241559672994043,0.213127371856266,0.2216927320898306871448063995,0.1578277270767468871448063995,0.0638650050130838,7.6437125894276706814194824286,88.11156582114975569476373486,87.40647235852664896317375111,1640159000
17.12,2,0.2412545869091882902748949739,0.24913740765372,0.24913740765372,0.241548787261974,0.241548787261974,0.21309340584096,0.2216583652325936945607525343,0.1577686526429392945607525343,0.0638897125896544,7.64151515437096698400749086,88.09959552581462082748101299,87.39698413250828670097438574,1641118000
17.13,2,0.2412437377963991660866059041,0.24912535536092,0.24912535536092,0.241537924919124,0.241537924919124,0.213059519735694,0.2216240791508741575233976141,0.1577096350024087575233976141,0.0639144441484654,7.6393203986758930946228122677,88.08763162181893079459164845,87.38749889254998574346716102,1642077000
17.14,2,0.2412329069245422420910321264,0.249113324550243,0.249113324550243,0.24152708083945,0.24152708083945,0.213025725490227,0.2215898856227115247852682656,0.1576506859331952247852682656,0.0639391996895163,7.6371286572045204561017170521,88.07568033684702874481281563,87.37802184637412365212105507,1643035000
17.15,2,0.2412220855027590571662283844,0.249101306060206,0.249101306060206,0.241516246221375,0.241516246221375,0.212992012951825,0.2215557741818231993345395943,0.1575917949690160993345395943,0.0639639792128071,7.6349396275659775394095440142,88.06373505862739596012358946,87.36854747186079039533141598,1643994000
17.16,2,0.2412112912981549781002088653,0.24908931766894,0.24908931766894,0.241505438853668,0.241505438853668,0.21295838150535,0.2215217448338949676108075321,0.1575329621155562676108075321,0.0639887827183387,7.6327533073691914634255863528,88.05179580101566979185134923,87.3590757807371190812931445,1644952000
17.17,2,0.2412004965757846844172814654,0.249077333619367,0.249077333619367,0.241494630967564,0.241494630967564,0.212924889242712,0.2214878547365400665145874112,0.1574742445304302665145874112,0.0640136102061098,7.6305713315052406991151828695,88.03988276354045245007722544,87.34962371812182148458785154,1645911000
17.18,2,0.2411897261225484072881606894,0.249065374922774,0.249065374922774,0.24148384738019,0.24148384738019,0.21289142674569,0.2214539952714752416428090689,0.1574155335953539416428090689,0.0640384616761213,7.6283905857355623653576267639,88.0279581589489429814578387,87.34015958292221495497755839,1646870000
17.19,2,0.2411789728510526328204524541,0.249053438233133,0.249053438233133,0.241473080995508,0.241473080995508,0.212858101524429,0.2214202737665778083974875745,0.1573569366382047083974875745,0.0640633371283731,7.6262141422234235810322112353,88.01606022980212709853893595,87.33071545595812721076700326,1647828000
17.20,2,0.2411682289967853352891279274,0.249038870576389,0.249038870576389,0.241462324039539,0.241462324039539,0.212749165095209,0.2213108952945986175195932394,0.1572983511336292175195932394,0.0640125441609694,7.6240390612798428171042750833,88.00554404810051297736927377,87.32126266741498636107330949,1648787000
17.21,2,0.2411574923007617809496961721,0.249026086343938,0.249026086343938,0.241451574250542,0.241451574250542,0.212691093895426,0.2212524133069430534534089197,0.1572398691459736534534089197,0.0640125441609694,7.6218679778001558403670659084,87.99411123800863316715753678,87.3118243792733702017917325,1649745000
17.22,2,0.2411467750540503176947109545,0.249013322839991,0.249013322839991,0.241440843934575,0.241440843934575,0.212633058307832,0.2211939676331964314050270682,0.1571814234722270314050270682,0.0640125441609694,7.6196989640059367978289453103,87.98267758672647690221283477,87.30238467961435549214956435,1650704000
17.23,2,0.2411360720310965153343718004,0.24900057667975,0.24900057667975,0.241430127859712,0.241430127859712,0.212575111318551,0.2211356111090786896778770295,0.1571230669481092896778770295,0.0640125441609694,7.6175335309751328083692064907,87.97126007735488333501966951,87.29295783057803457977715326,1651663000
17.24,2,0.2411253851313251744286460122,0.248987848682097,0.248987848682097,0.241419427927692,0.241419427927692,0.212517221885401,0.2210773127398950166843463605,0.1570647685789256166843463605,0.0640125441609694,7.6153707882212109908671426471,87.9598467100624869660627214,87.28353377679164742300501275,1652621000
17.25,2,0.2411147186613365003785760110,0.24897514381103,0.24897514381103,0.241408748450368,0.241408748450368,0.212459408608157,0.2210190912873320346398437197,0.1570065471263626346398437197,0.0640125441609694,7.6132112706729827881590241785,87.94844247066159567995393066,87.2741167157172681507463232,1653580000
17.26,2,0.2411040592463007205634113249,0.248962447572789,0.248962447572789,0.241398076036601,0.241398076036601,0.212401640145599,0.2209609149234360007452692477,0.1569483707624666007452692477,0.0640125441609694,7.6110540639727193753822810906,87.9370434044170877843115667,87.2647032808137837393591027,1654538000
17.27,2,0.2410934192032923169420076811,0.248949773068526,0.248949773068526,0.241387423018484,0.241387423018484,0.21234393830544,0.2209028058998587964257994551,0.1568902617388893964257994551,0.0640125441609694,7.6088998030294294912010925764,87.92564875555705316154946153,87.25529290322763922554357415,1655497000
17.28,2,0.2410827823840868443603514836,0.24893710382037,0.24893710382037,0.241376773228102,0.241376773228102,0.212286294493912,0.2208447550529991152340902650,0.1568322108920297152340902650,0.0640125441609694,7.60674822277131160658079744,87.9142617061112564824561922,87.24588820954162944165283796,1656456000
17.29,2,0.2410721726748562230603996290,0.248924465403914,0.248924465403914,0.241366150580753,0.241366150580753,0.212228755838204,0.2207868103739122036070329423,0.1567742662129428036070329423,0.0640125441609694,7.6046006954868498685297572812,87.90289206472680602331461632,87.23649748191470410424944483,1657414000
17.30,2,0.2410615622737790247885808246,0.248911826925739,0.248911826925739,0.241355527240715,0.241355527240715,0.2121712352632,0.2207288837623613094214513448,0.1567163396013919094214513448,0.0640125441609694,7.6024546947362413959272653003,87.89148404055029790148433426,87.22707409808686807803577631,1658373000
17.31,2,0.2410509789149526358690104215,0.248899219166388,0.248899219166388,0.241344930975904,0.241344930975904,0.212113818554564,0.2206710620259762837444024690,0.1566585178650068837444024690,0.0640125441609694,7.6003127048209919555665690937,87.88016421288554683019432412,87.21772356240198066500732162,1659331000
17.32,2,0.2410404049409842203565963533,0.248886621488678,0.248886621488678,0.241334344107396,0.241334344107396,0.212056421307433,0.2206132600910860564922666572,0.1566007159301166564922666572,0.0640125441609694,7.5981722860059756944560302651,87.86876641895588327557329549,87.20830745641979894864892501,1660290000
